HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
HGNC:28169	Approved	ANKRD36BP1	MGC12538	ANKRD26L1	ENSG00000214262
HGNC:28169	Approved	ANKRD36BP1	MGC12538	ANKRD36BL1	ENSG00000214262
HGNC:33607	Approved	ANKRD36BP2			ENSG00000230006
HGNC:37759	Approved	ANKRD36P1			ENSG00000188399
HGNC:54619	Approved	ANKRD49P1			ENSG00000228446
HGNC:54620	Approved	ANKRD49P2			ENSG00000225349
HGNC:54621	Approved	ANKRD49P3			ENSG00000248616
HGNC:54622	Approved	ANKRD49P4			ENSG00000214684
HGNC:39214	Approved	ANKRD54P1			ENSG00000236442
HGNC:42363	Approved	ANKRD62P1			ENSG00000259271
HGNC:32248	Approved	ANO7L1		TMEM16M	ENSG00000237276
HGNC:32248	Approved	ANO7L1		C1orf224	ENSG00000237276
HGNC:32248	Approved	ANO7L1		ANO7P1	ENSG00000237276
HGNC:6214	Approved	ANOS2P	KAL-Y	ADMLY	ENSG00000241859
HGNC:6214	Approved	ANOS2P	KAL-Y	KALP	ENSG00000241859
HGNC:42949	Approved	ANP32AP1			ENSG00000259516
HGNC:24267	Approved	ANP32BP1			ENSG00000259790
HGNC:38552	Approved	ANP32BP2			ENSG00000231801
HGNC:44089	Approved	ANP32BP3			ENSG00000259461
HGNC:45004	Approved	ANTXRLP1			ENSG00000263482
HGNC:538	Approved	ANXA2P1		LPC2A	ENSG00000213406
HGNC:538	Approved	ANXA2P1		ANX2P1	ENSG00000213406
HGNC:538	Approved	ANXA2P1		ANX2L1	ENSG00000213406
HGNC:539	Approved	ANXA2P2		ANX2P2	ENSG00000231991
HGNC:539	Approved	ANXA2P2		ANX2L2	ENSG00000231991
HGNC:539	Approved	ANXA2P2		LPC2B	ENSG00000231991
HGNC:540	Approved	ANXA2P3	LIP2	ANX2P3	ENSG00000216740
HGNC:540	Approved	ANXA2P3	LIP2	ANX2L3	ENSG00000216740
HGNC:540	Approved	ANXA2P3	LIP2	LPC2C	ENSG00000216740
HGNC:48869	Approved	AOC4P	UPAT		ENSG00000260105
HGNC:18450	Approved	AOX2P	AOH2	AOX2	ENSG00000243478
HGNC:19049	Approved	AOX3P	AOH1		ENSG00000244301
HGNC:297	Approved	AP1B1P1	dJ127L4.2	ADTB1L1	ENSG00000234479
HGNC:298	Approved	AP1B1P2	dJ127L4.3	ADTB1L2	ENSG00000232707
HGNC:54978	Approved	AP1M2P1			ENSG00000227534
HGNC:50752	Approved	AP1S2P1			ENSG00000226046
HGNC:55017	Approved	AP2B1P1			ENSG00000234130
HGNC:595	Approved	API5P1		API5L1	ENSG00000234558
HGNC:39070	Approved	API5P2			ENSG00000213962
HGNC:43835	Approved	APOBEC3AP1			ENSG00000248822
HGNC:608	Approved	APOC1P1	lincRNA-APOC1P1-3		ENSG00000214855
HGNC:53942	Approved	APONP			ENSG00000274823
HGNC:48739	Approved	APOOP1			ENSG00000270560
HGNC:48740	Approved	APOOP2			ENSG00000240902
HGNC:48741	Approved	APOOP3			ENSG00000255700
HGNC:48742	Approved	APOOP4			ENSG00000248122
HGNC:48743	Approved	APOOP5			ENSG00000260240
HGNC:32048	Approved	AQP7P1			ENSG00000186466
HGNC:32049	Approved	AQP7P2			ENSG00000181997
HGNC:31976	Approved	AQP7P3	AQPap-3		ENSG00000279688
HGNC:32056	Approved	AQP7P4			ENSG00000176115
HGNC:51836	Approved	AQP7P5			ENSG00000278122
HGNC:50824	Approved	ARAFP1			ENSG00000231264
HGNC:647	Approved	ARAFP2	PKS1	ARAF2	ENSG00000224368
HGNC:647	Approved	ARAFP2	PKS1	ARAFPS	ENSG00000224368
HGNC:647	Approved	ARAFP2	PKS1	ARAF2P	ENSG00000224368
HGNC:35474	Approved	ARAFP3		ARAF3P	ENSG00000227298
HGNC:22500	Approved	ARF1P1			ENSG00000219807
HGNC:39883	Approved	ARF1P2			ENSG00000213137
